ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt
1782709098146,78389,401887582,149804,0,0,1931272515,18338086122,149794,27434023,149581
1782709098398,78641,404858006,151040,0,0,1951419537,18507423609,151030,28422052,150817
1782709098657,78901,407295700,152127,0,0,1988135627,18659906211,152117,28542509,151904
1782709098909,79152,408817761,153487,0,0,2005220328,18851233027,153477,28675042,153262
1782709099160,79403,411407817,154972,0,0,2025162460,19038751281,154962,29741412,154747
1782709099417,79660,416472398,156552,0,0,2045890633,19254836388,156543,29887785,156265
1782709099668,79912,417869732,157953,0,0,2062441821,19446604677,157943,30026376,157663
1782709099920,80163,420062400,159543,0,0,2078101086,19655647843,159533,31921204,159237
1782709100173,80416,424130375,161497,0,0,2095312748,19874420275,161487,32120466,161191
1782709100426,80669,428433160,163125,0,0,2116011801,20083464924,163115,33225343,162815
1782709100678,80922,431704679,164655,0,0,2134059646,20245904125,164645,33371187,164317
1782709100930,81173,432936841,166013,0,0,2157901264,20451252600,166003,33504065,165673
1782709101180,81423,434939862,167511,0,0,2174867747,20638881735,167501,33646592,167171
1782709101431,81675,436343817,169133,0,0,2190191350,20822632532,169124,33792839,168788
1782709101683,81927,439046533,170582,0,0,2210004197,21013898358,170572,34368420,170230
1782709101934,82177,443643714,172044,0,0,2222424908,21178067514,172034,34520993,171691
1782709102186,82429,446113961,173533,0,0,2240073460,21347656904,173524,34674097,173164
1782709102437,82680,448071784,174857,0,0,2240309360,21472857047,174848,34799639,174488
1782709102688,82932,450751552,176079,0,0,2256040862,21607903370,176070,34924190,175708
1782709102940,83183,453458255,177691,0,0,2270290442,21777784020,177681,35443475,177319
1782709103192,83435,456801538,179022,0,0,2288187820,21951748694,179012,35975631,178650
1782709103444,83687,461435596,180601,0,0,2305271033,22163099945,180592,36117325,180167
1782709103695,83939,464413382,181984,0,0,2321319088,22357874683,181974,36255866,181547
1782709103948,84191,469803149,183557,0,0,2332097777,22544459592,183547,36401805,183104
1782709104200,84443,472954241,185298,0,0,2348358155,22756927252,185288,36573159,184845
1782709104453,84696,478433359,187035,0,0,2363382939,22978496723,187025,36736074,186578
1782709104704,84948,481710168,188491,0,0,2386234361,23169219412,188481,36878776,188005
1782709104956,85199,483910784,190083,0,0,2401286124,23372171969,190073,37027287,189597
1782709105207,85450,486431140,191627,0,0,2422863025,23540467215,191617,37179295,191141
1782709105458,85701,489761255,192628,0,0,2440331983,23671107323,192619,37268017,192137
1782709105710,85954,489761255,192628,0,0,2440331983,23671107323,192619,37268017,192137
1782709106020,86263,489952118,192766,0,0,2440350776,23689260963,192750,37280831,192261
1782709106370,86613,489952118,192766,0,0,2440350776,23689260963,192750,37280831,192261
1782709106628,86872,489952118,192766,0,0,2440350776,23689260963,192750,37280831,192261
