ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns
1782718784677,49874,95758788,53756,0,0,410718463,5029492194,53755,6025778,53755,4068888806,600778172
1782718784928,50124,96697945,54611,0,0,428501811,5166612457,54611,6121212,54611,4166065943,628898287
1782718785180,50376,98071323,55362,0,0,428627423,5257629368,55362,6186812,55362,4241848927,638964094
1782718785432,50628,98661538,56113,0,0,438844220,5352937460,56113,6251043,56113,4317121043,648834837
1782718785684,50881,99911263,56635,0,0,455649465,5454111933,56634,6295930,56634,4392383618,663012175
1782718785936,51132,100337649,57161,0,0,455725466,5499869561,57161,6337205,57161,4427664527,670042512
1782718786187,51383,100997065,57911,0,0,469431364,5599714835,57911,6401598,57911,4504167091,684954285
1782718786438,51634,102132283,58663,0,0,469540010,5687811126,58663,6467192,58663,4568884248,698398394
1782718786695,51892,104988696,59162,0,0,505025122,5743328723,59162,6511550,59162,4611463474,708678014
1782718786947,52143,107390443,59760,0,0,523584102,5857702295,59759,6563407,59759,4711218629,717462917
1782718787198,52394,108291438,60607,0,0,524118054,5967659887,60606,6635739,60606,4793989279,737000861
1782718787456,52652,108818762,61368,0,0,544360918,6022404156,61368,6687188,61368,4828140569,753663441
1782718787718,52915,109417263,61868,0,0,563380998,6077904062,61868,6726378,61868,4868838257,760316644
1782718787969,53165,109955844,62495,0,0,593050242,6169012146,62494,6777325,62494,4931571006,783094564
1782718788221,53417,110708445,63115,0,0,593137488,6255344643,63114,6832041,63114,4994535906,802269652
1782718788473,53668,112200784,63832,0,0,605809336,6351686480,63831,6895902,63831,5065510867,816011501
1782718788737,53934,113582968,64586,0,0,605912900,6450290558,64585,6958803,64585,5142394845,829329874
1782718788997,54193,114321467,64871,0,0,605949517,6478509599,64871,6980252,64871,5160676362,837321673
1782718789251,54447,115454060,65656,0,0,606424409,6565106656,65655,7045472,65655,5226607239,851755977
1782718789503,54699,116165050,66375,0,0,606662781,6650365024,66375,7104236,66375,5287936772,869238452
1782718789753,54950,119231418,67075,0,0,617612186,6748918397,67074,7169051,67074,5363797229,884333887
1782718790025,55220,120095643,67416,0,0,625048892,6786044941,67415,7197282,67415,5391633761,888547265
1782718790275,55471,120470838,67867,0,0,625110974,6868236108,67867,7232458,67867,5464130918,896032780
1782718790528,55723,121820649,68619,0,0,637718477,6980034628,68619,8545337,68619,5544596243,914658997
1782718790783,55980,122347655,69238,0,0,637810330,7033042537,69237,8599576,69237,5584027743,923832391
1782718791035,56231,122748823,69709,0,0,650359843,7088712696,69709,8638350,69709,5626205311,932764284
1782718791286,56482,123773741,70250,0,0,650436556,7157334297,70249,8682785,70249,5677537709,941020749
1782718791546,56742,125318075,70961,0,0,650538704,7251333424,70961,8739913,70961,5749757202,953897965
1782718791798,56995,127039525,71749,0,0,662328680,7375183690,71748,8812652,71748,5838901373,976101024
1782718792049,57245,127619550,72438,0,0,681658372,7454735143,72437,8869925,72437,5902860498,986389102
1782718792300,57496,128524480,73187,0,0,681764979,7527404589,73186,8927721,73186,5959032099,996371662
1782718792562,57758,128899180,73684,0,0,687548330,7571891733,73684,8967032,73684,5992369222,1003909897
1782718792931,58127,128899180,73684,0,0,687548330,7571891733,73684,8967032,73684,5992369222,1003909897
1782718793331,58527,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718793695,58892,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718793962,59158,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718794495,59691,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718794750,59947,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718795030,60226,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718795476,60672,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718795728,60925,128931125,73705,0,0,687552717,7576560553,73705,8969563,73705,5996008075,1004786128
1782718796024,61220,129134045,73953,0,0,687590746,7593661711,73953,8988591,73953,6008040089,1005678710
1782718796280,61476,131443276,75035,0,0,718537309,7767392342,75034,9266149,75034,6144361772,1026329250
1782718796531,61727,133514581,76546,0,0,739247707,7949153204,76545,9401247,76545,6274630106,1057475097
1782718796782,61978,135911656,77940,0,0,768616892,8150112511,77939,9522692,77939,6432927255,1085713481
1782718797034,62230,137562441,79278,0,0,783134691,8291250370,79278,9627328,79278,6537105703,1106938413
